city_name,state_name
mumbai,maharashtra
delhi,delhi
bengaluru,karnataka
hyderabad,telangana
ahmedabad,gujarat
chennai,tamil-nadu
kolkata,west-bengal
surat,gujarat
pune,maharashtra
jaipur,rajasthan
lucknow,uttar-pradesh
kanpur,uttar-pradesh
nagpur,maharashtra
indore,madhya-pradesh
thane,maharashtra
bhopal,madhya-pradesh
visakhapatnam,andhra-pradesh
pimpri-chinchwad,maharashtra
patna,bihar
vadodara,gujarat
ghaziabad,uttar-pradesh
ludhiana,punjab
agra,uttar-pradesh
nashik,maharashtra
faridabad,haryana
meerut,uttar-pradesh
rajkot,gujarat
kalyan-dombivli,maharashtra
vasai-virar,maharashtra
varanasi,uttar-pradesh
srinagar,jammu-and-kashmir
aurangabad,maharashtra
dhanbad,jharkhand
amritsar,punjab
navi-mumbai,maharashtra
prayagraj,uttar-pradesh
howrah,west-bengal
ranchi,jharkhand
jabalpur,madhya-pradesh
gwalior,madhya-pradesh
coimbatore,tamil-nadu
vijayawada,andhra-pradesh
jodhpur,rajasthan
madurai,tamil-nadu
raipur,chhattisgarh
kota,rajasthan
guwahati,assam
chandigarh,chandigarh
solapur,maharashtra
hubli-dharwad,karnataka
tiruchirappalli,tamil-nadu
tiruppur,tamil-nadu
moradabad,uttar-pradesh
mysore,karnataka
bareilly,uttar-pradesh
gurgaon,haryana
aligarh,uttar-pradesh
jalandhar,punjab
bhubaneswar,odisha
salem,tamil-nadu
mira-bhayandar,maharashtra
warangal,telangana
thiruvananthapuram,kerala
guntur,andhra-pradesh
bhiwandi,maharashtra
saharanpur,uttar-pradesh
gorakhpur,uttar-pradesh
bikaner,rajasthan
amravati,maharashtra
noida,uttar-pradesh
jamshedpur,jharkhand
bhilai,chhattisgarh
cuttack,odisha
firozabad,uttar-pradesh
kochi,kerala
nellore,andhra-pradesh
bhavnagar,gujarat
dehradun,uttarakhand
durgapur,west-bengal
asansol,west-bengal
nanded,maharashtra
kolhapur,maharashtra
ajmer,rajasthan
gulbarga,karnataka
jamnagar,gujarat
ujjain,madhya-pradesh
loni,uttar-pradesh
siliguri,west-bengal
